Brand,% from sugar,% from fat,Calories,Carbo,Cups,Fat,Fiber,Potassium,Protein,Rating,Sodium,Sugars,Vitamins
100% Bran,34.28571429,12.85714286,70,5,0.33,1,10,280,4,68.402973,130,6,25
100% Natural Bran,26.66666667,37.5,120,8,1,5,2,135,3,33.983679,15,8,0
All-Bran,28.57142857,12.85714286,70,7,0.33,1,9,320,4,59.425505,260,5,25
All-Bran with Extra Fiber,0,0,50,8,0.5,0,14,330,4,93.704912,140,0,25
Almond Delight,29.09090909,16.36363636,110,14,0.75,2,1,-1,2,34.384843,200,8,25
Ancient Grains Cheerios,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,105,5,25
Apple Cinnamon Cheerios,36.36363636,16.36363636,110,10.5,0.75,2,1.5,70,2,29.509541,180,10,25
Apple Jacks,50.90909091,0,110,11,1,0,1,30,2,33.174094,125,14,25
Basic 4,24.61538462,13.84615385,130,18,0.75,2,2,100,3,37.038562,210,8,25
Bran Chex,26.66666667,10,90,15,0.67,1,4,125,2,49.120253,200,6,25
Bran Flakes,22.22222222,0,90,13,0.67,0,5,190,3,53.313813,210,5,25
Cap'n'Crunch,40,15,120,12,0.75,2,0,35,1,18.042851,220,12,25
Cheerios,3.636363636,16.36363636,110,17,1.25,2,2,105,6,50.764999,290,1,25
Cinnamon Toast Crunch,30,22.5,120,13,0.75,3,0,45,1,19.823573,210,9,25
Clusters,25.45454546,16.36363636,110,13,0.5,2,2,105,3,40.400208,140,7,25
Cocoa Crispies,39.66942149,5.950413223,121,27,0.8,1,0.4,61,1,,131,12,25
Cocoa Puffs,47.27272727,8.181818182,110,12,1,1,0,55,1,22.736446,180,13,25
Corn Chex,10.90909091,0,110,22,1,0,0,25,2,41.445019,280,3,25
Corn Flakes,8,0,100,21,1,0,1,35,2,45.863324,290,2,25
Corn Pops,43.63636364,0,110,13,1,0,1,20,1,35.782791,90,12,25
Count Chocula,36,18,100,23,0.75,2,1,55,1,22.396513,130,9,25
Cracklin' Oat Bran,25.45454546,24.54545455,110,10,0.5,3,4,160,3,40.448772,140,7,25
Cream of Wheat (Quick),0,0,120,21,1,0,1,1,3,64.533816,80,0,0
Crispix,10.90909091,0,110,21,1,0,1,30,2,46.895644,220,3,25
Crispy Wheat & Raisins,40,9,100,11,0.75,1,2,120,2,36.176196,140,10,25
Double Chex,20,0,100,18,0.75,0,1,80,2,44.330856,190,5,25
Fiber One,0,15,60,25,1.5,1,14.2,180,2,41.50354,105,0,13
Froot Loops,47.27272727,8.181818182,110,11,1,1,1,30,2,32.207582,125,13,25
Frosted Flakes,40,0,110,14,0.75,0,1,25,1,31.435973,200,11,25
Frosted Mini-Wheats,28,0,100,14,0.8,0,3,100,3,58.345141,0,7,25
"Fruit & Fibre Dates, Walnuts, and Oats",33.33333333,15,120,12,0.67,2,5,200,3,40.917047,160,10,25
Fruitful Bran,40,0,120,14,0.67,0,5,190,3,41.015492,240,12,25
Fruity Pebbles,43.63636364,8.181818182,110,13,0.75,1,0,25,1,28.025765,135,12,25
Golden Crisp,60,0,100,11,0.88,0,0,40,2,35.252444,45,15,25
Golden Grahams,32.72727273,8.181818182,110,15,0.75,1,0,45,1,23.804043,280,9,25
Grape Nuts Flakes,20,9,100,15,0.88,1,3,85,3,52.076897,140,5,25
Grape-Nuts,10.90909091,0,110,17,0.25,0,3,90,3,53.371007,170,3,25
Great Grains,21.05263158,16.57894737,190,37,0.7,4,4,,4,35,115,10,25
Great Grains Pecan,13.33333333,22.5,120,13,0.33,3,3,100,3,45.811716,75,4,25
Honey Graham Ohs,36.66666667,15,120,12,1,2,1,45,1,21.871292,220,11,25
Honey Nut Cheerios,36.36363636,8.181818182,110,11.5,0.75,1,1.5,90,3,31.072217,250,10,25
Honey-comb,40,0,110,14,1.33,0,0,35,1,28.742414,180,11,25
Just Right Crunchy  Nuggets,21.81818182,8.181818182,110,17,1,1,1,60,2,36.523683,170,6,100
Just Right Fruit & Nut,25.71428571,6.428571429,140,20,0.75,1,2,95,3,36.471512,170,9,100
Kix,10.90909091,8.181818182,110,21,1.5,1,0,40,2,39.241114,260,3,25
Life,24,18,100,12,0.67,2,2,95,4,45.328074,150,6,25
Lucky Charms,43.63636364,8.181818182,110,12,1,1,0,55,2,26.734515,180,12,25
Maypo,12,9,100,16,1,1,0,95,4,54.850917,0,3,25
"Muesli Raisins, Dates, & Almonds",29.33333333,18,150,16,1,3,3,170,4,37.136863,95,11,25
"Muesli Raisins, Peaches, & Pecans",29.33333333,18,150,16,1,3,3,170,4,34.139765,150,11,25
Mueslix Crispy Blend,32.5,11.25,160,17,0.67,2,3,160,3,30.313351,150,13,25
Multi-Grain Cheerios,24,9,100,15,1,1,2,90,2,40.105965,220,6,25
Nut&Honey Crunch,30,7.5,120,15,0.67,1,0,40,2,29.924285,190,9,25
Nutri-Grain Almond-Raisin,20,12.85714286,140,21,0.67,2,3,130,3,40.69232,220,7,25
Nutri-grain Wheat,8.888888889,0,90,18,1,0,3,90,3,59.642837,170,2,25
Oatmeal Raisin Crisp,30.76923077,13.84615385,130,13.5,0.5,2,1.5,120,3,30.450843,170,10,25
Post Nat. Raisin Bran,46.66666667,7.5,120,11,0.67,1,6,260,3,37.840594,200,14,25
Product 19,12,0,100,20,1,0,1,45,3,41.50354,320,3,100
Puffed Rice,0,0,50,13,1,0,0,15,1,60.756112,0,0,0
Puffed Wheat,0,0,50,10,1,0,1,50,2,63.005645,0,0,0
Quaker Oat Squares,24,9,100,14,0.5,1,2,110,4,49.511874,135,6,25
Quaker Oatmeal,-4,18,100,-1,0.67,2,2.7,110,5,50.828392,0,-1,0
Raisin Bran,40,7.5,120,14,0.75,1,5,240,3,39.259197,210,12,25
Raisin Nut Bran,32,18,100,10.5,0.5,2,2.5,140,3,39.7034,140,8,25
Raisin Squares,26.66666667,0,90,15,0.5,0,2,110,2,55.333142,0,6,25
Rice Chex,7.272727273,0,110,23,1.13,0,0,30,1,41.998933,240,2,25
Rice Krispies,10.90909091,0,110,22,1,0,0,35,2,40.560159,290,3,25
Shredded Wheat,0,0,80,16,1,0,3,95,2,68.235885,0,0,0
Shredded Wheat 'n'Bran,0,0,90,19,0.67,0,4,140,3,74.472949,0,0,0
Shredded Wheat spoon size,0,0,90,20,0.67,0,3,120,3,72.801787,0,0,0
Smacks,54.54545455,8.181818182,110,9,0.75,1,1,40,2,31.230054,70,15,25
Special K,10.90909091,0,110,16,1,0,1,55,6,53.131324,230,3,25
Strawberry Fruit Wheats,22.22222222,0,90,15,1,0,3,90,2,59.363993,15,5,25
Thin Mint Cereal,30,22.5,120,22,0.8,3,1,70,1,42,90,9,15
Total Corn Flakes,10.90909091,8.181818182,110,21,1,1,0,35,2,38.839746,200,3,100
Total Raisin Bran,40,6.428571429,140,15,1,1,4,230,3,28.592785,190,14,100
Total Whole Grain,12,9,100,16,1,1,3,110,3,46.658844,200,3,100
Triples,10.90909091,8.181818182,110,21,0.75,1,0,60,2,39.106174,250,3,25
Trix,43.63636364,8.181818182,110,13,1,1,0,25,1,27.753301,140,12,25
Vanilla Coconut,3.333333333,60,120,2,0.7,8,6,0,8,,60,1,7
Wheat Chex,12,9,100,17,0.67,1,3,115,3,49.787445,230,3,25
Wheaties,12,9,100,17,1,1,3,110,3,51.592193,200,3,25
Wheaties Honey Gold,29.09090909,8.181818182,110,16,0.75,1,1,60,2,36.187559,200,8,25
